,Date,Close,name
558,2017-03-22,17.545,stribro
559,2017-03-23,17.563,stribro
560,2017-03-24,17.719998999999998,stribro
561,2017-03-27,18.08,stribro
562,2017-03-28,18.225,stribro
563,2017-03-29,18.228001000000003,stribro
564,2017-03-30,18.184998999999998,stribro
565,2017-03-31,18.235001,stribro
566,2017-04-03,18.191,stribro
567,2017-04-04,18.302,stribro
568,2017-04-05,18.166,stribro
569,2017-04-06,18.225,stribro
570,2017-04-07,18.129998999999998,stribro
571,2017-04-10,17.893998999999997,stribro
572,2017-04-11,18.233,stribro
573,2017-04-12,18.278999,stribro
574,2017-04-13,18.489,stribro
575,2017-04-17,18.493,stribro
576,2017-04-18,18.250999,stribro
577,2017-04-19,18.136,stribro
578,2017-04-20,17.992001000000002,stribro
579,2017-04-21,17.83,stribro
580,2017-04-24,17.848,stribro
581,2017-04-25,17.580999,stribro
582,2017-04-26,17.353001000000003,stribro
583,2017-04-27,17.264999,stribro
584,2017-04-28,17.191,stribro
585,2017-05-01,16.780001000000002,stribro
586,2017-05-02,16.768998999999997,stribro
587,2017-05-03,16.487,stribro
588,2017-05-04,16.243999,stribro
589,2017-05-05,16.215,stribro
590,2017-05-08,16.198999,stribro
591,2017-05-09,16.007998999999998,stribro
592,2017-05-10,16.150999,stribro
593,2017-05-11,16.209,stribro
594,2017-05-12,16.346001,stribro
595,2017-05-15,16.561001,stribro
596,2017-05-16,16.693001000000002,stribro
597,2017-05-17,16.851999,stribro
598,2017-05-18,16.621,stribro
599,2017-05-19,16.75,stribro
600,2017-05-22,17.143,stribro
601,2017-05-23,17.091,stribro
602,2017-05-24,17.077,stribro
603,2017-05-25,17.152,stribro
604,2017-05-26,17.283001000000002,stribro
605,2017-05-30,17.388,stribro
606,2017-05-31,17.368,stribro
607,2017-06-01,17.243,stribro
608,2017-06-02,17.487,stribro
609,2017-06-05,17.547001,stribro
610,2017-06-06,17.677,stribro
611,2017-06-07,17.587,stribro
612,2017-06-08,17.384001,stribro
613,2017-06-09,17.193001000000002,stribro
614,2017-06-12,16.914,stribro
615,2017-06-13,16.738001,stribro
616,2017-06-14,17.107,stribro
617,2017-06-15,16.691,stribro
618,2017-06-16,16.636,stribro
619,2017-06-19,16.483,stribro
620,2017-06-20,16.398001,stribro
621,2017-06-21,16.355,stribro
622,2017-06-22,16.49,stribro
623,2017-06-23,16.628,stribro
624,2017-06-26,16.559998999999998,stribro
625,2017-06-27,16.576,stribro
626,2017-06-28,16.715,stribro
627,2017-06-29,16.586,stribro
628,2017-06-30,16.568001000000002,stribro
629,2017-07-03,,stribro
630,2017-07-05,15.842,stribro
631,2017-07-06,15.927,stribro
632,2017-07-07,15.371,stribro
633,2017-07-10,15.577,stribro
634,2017-07-11,15.697,stribro
635,2017-07-12,15.839,stribro
636,2017-07-13,15.642,stribro
637,2017-07-14,15.884,stribro
638,2017-07-17,16.049999,stribro
639,2017-07-18,16.222,stribro
640,2017-07-19,16.250999,stribro
641,2017-07-20,16.299,stribro
642,2017-07-21,16.41,stribro
643,2017-07-24,16.398001,stribro
644,2017-07-25,16.497,stribro
645,2017-07-26,16.415001,stribro
646,2017-07-27,16.528999,stribro
647,2017-07-28,16.664,stribro
648,2017-07-31,16.75,stribro
649,2017-08-01,16.728001000000003,stribro
650,2017-08-02,16.697001,stribro
651,2017-08-03,16.594,stribro
652,2017-08-04,16.222,stribro
653,2017-08-07,16.221001,stribro
654,2017-08-08,16.360001,stribro
655,2017-08-09,16.834,stribro
656,2017-08-10,17.035999,stribro
657,2017-08-11,17.041,stribro
658,2017-08-14,17.093,stribro
659,2017-08-15,16.690001000000002,stribro
660,2017-08-16,16.917,stribro
661,2017-08-17,17.030001000000002,stribro
662,2017-08-18,16.98,stribro
663,2017-08-21,16.995001000000002,stribro
664,2017-08-22,16.962,stribro
665,2017-08-23,17.032,stribro
666,2017-08-24,16.952,stribro
667,2017-08-25,17.038,stribro
668,2017-08-28,17.431,stribro
669,2017-08-29,17.422001,stribro
670,2017-08-30,17.403999,stribro
671,2017-08-31,17.48,stribro
672,2017-09-01,17.719,stribro
673,2017-09-05,17.844998999999998,stribro
674,2017-09-06,17.816,stribro
675,2017-09-07,18.016001,stribro
676,2017-09-08,18.027,stribro
677,2017-09-11,17.806998999999998,stribro
678,2017-09-12,17.795,stribro
679,2017-09-13,17.771998999999997,stribro
680,2017-09-14,17.698,stribro
681,2017-09-15,17.611,stribro
682,2017-09-18,17.070999,stribro
683,2017-09-19,17.195,stribro
684,2017-09-20,17.250999,stribro
685,2017-09-21,16.937,stribro
686,2017-09-22,16.903,stribro
687,2017-09-25,17.059,stribro
688,2017-09-26,16.804001,stribro
689,2017-09-27,16.747999,stribro
690,2017-09-28,16.773001,stribro
691,2017-09-29,16.607,stribro
692,2017-10-02,16.584999,stribro
693,2017-10-03,16.580999,stribro
694,2017-10-04,16.563,stribro
695,2017-10-05,16.582001,stribro
696,2017-10-06,16.733999,stribro
697,2017-10-09,16.916,stribro
698,2017-10-10,17.155001000000002,stribro
699,2017-10-11,17.080999,stribro
700,2017-10-12,17.211,stribro
701,2017-10-13,17.355,stribro
702,2017-10-16,17.315001000000002,stribro
703,2017-10-17,16.987,stribro
704,2017-10-18,16.943001000000002,stribro
705,2017-10-19,17.201,stribro
706,2017-10-20,17.021998999999997,stribro
707,2017-10-23,17.024,stribro
708,2017-10-24,16.907,stribro
709,2017-10-25,16.868,stribro
710,2017-10-26,16.764,stribro
711,2017-10-27,16.702,stribro
712,2017-10-30,16.802,stribro
713,2017-10-31,16.645,stribro
714,2017-11-01,17.132,stribro
715,2017-11-02,17.094,stribro
716,2017-11-03,16.794001,stribro
717,2017-11-06,17.195,stribro
718,2017-11-07,16.905001000000002,stribro
719,2017-11-08,17.106001000000003,stribro
720,2017-11-09,16.943001000000002,stribro
721,2017-11-10,16.844,stribro
722,2017-11-13,17.023001,stribro
723,2017-11-14,17.052,stribro
724,2017-11-15,16.950001,stribro
725,2017-11-16,17.056,stribro
